ymd,bWendu,yWendu,tianqi,fengxiang,fengli,aqi,aqiInfo,aqiLevel
2019-01-01,6℃,3℃,阴~多云,西北风,3级,39,优,1
2019-01-02,8℃,4℃,阴~多云,东北风,2级,86,良,2
2019-01-03,10℃,8℃,多云~小雨,东北风,2级,71,良,2
2019-01-04,10℃,8℃,小雨,东南风,2级,33,优,1
2019-01-05,10℃,5℃,小雨,西北风,2级,46,优,1
2019-01-06,8℃,5℃,阴~多云,东北风,2级,43,优,1
2019-01-07,8℃,6℃,小雨~阴,东北风,2级,41,优,1
2019-01-08,8℃,5℃,多云~阴,东北风,3级,73,良,2
2019-01-09,7℃,6℃,小雨,东北风,3级,37,优,1
2019-01-10,9℃,7℃,小雨,东北风,2级,28,优,1
2019-01-11,9℃,6℃,小雨,东风,2级,28,优,1
2019-01-12,9℃,6℃,小雨~阴,西北风,3级,56,良,2
2019-01-13,9℃,5℃,阴~多云,西北风,2级,101,轻度污染,3
2019-01-14,10℃,6℃,多云,东北风,2级,100,良,2
2019-01-15,9℃,2℃,小雨~多云,东北风,3级,142,轻度污染,3
2019-01-16,6℃,0℃,阴~多云,西北风,2级,51,良,2
2019-01-17,8℃,1℃,晴~多云,西北风,2级,98,良,2
2019-01-18,11℃,7℃,晴~多云,东南风,2级,115,轻度污染,3
2019-01-19,13℃,5℃,多云~小雨,西南风,3级,98,良,2
2019-01-20,9℃,2℃,多云~晴,西北风,3级,135,轻度污染,3
2019-01-21,8℃,2℃,多云,西北风,2级,59,良,2
2019-01-22,10℃,2℃,晴,西北风,2级,109,轻度污染,3
2019-01-23,12℃,4℃,晴~多云,西北风,2级,122,轻度污染,3
2019-01-24,12℃,5℃,晴~多云,东南风,2级,138,轻度污染,3
2019-01-25,10℃,2℃,阴~多云,东北风,3级,51,良,2
2019-01-26,5℃,1℃,多云,西北风,3级,35,优,1
2019-01-27,9℃,3℃,多云~晴,东南风,2级,37,优,1
2019-01-28,10℃,6℃,多云,东北风,2级,70,良,2
2019-01-29,10℃,8℃,阴~多云,东南风,2级,76,良,2
2019-01-30,15℃,4℃,阴~小雨,东南风,2级,49,优,1
2019-01-31,11℃,0℃,小雨~多云,东北风,3级,33,优,1
2019-02-01,8℃,4℃,晴,西北风,2级,79,良,2
2019-02-02,14℃,9℃,多云~小雨,东南风,3级,78,良,2
2019-02-03,14℃,7℃,小雨~阴,西北风,3级,87,良,2
2019-02-04,11℃,7℃,多云~晴,东北风,3级,135,轻度污染,3
2019-02-05,14℃,9℃,小雨,东南风,2级,61,良,2
2019-02-06,16℃,7℃,晴~小雨,东南风,2级,66,良,2
2019-02-07,11℃,4℃,小雨,东北风,4级,44,优,1
2019-02-08,5℃,3℃,小雨,东北风,3级,28,优,1
2019-02-09,4℃,3℃,阴~小雨,东北风,3级,27,优,1
2019-02-10,5℃,3℃,雨夹雪~小雨,东北风,3级,29,优,1
2019-02-11,6℃,4℃,多云~阴,东北风,2级,36,优,1
2019-02-12,9℃,6℃,小雨,东北风,2级,36,优,1
